top - 09:30:52 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  5,5 us,  2,0 sis,  0,4 ni, 91,8 oc,  0,3 ag,  0,0 ih,  0,1 is  0,0 tr
KB mem :  5986548 total,   794320 livre,  2676912 usados,  2515316 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2785580 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
18799 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/1:+
19054 mateus    20   0  747836 138148  88928 S   0,0  2,3   0:06.11 chrome
19084 root      20   0       0      0      0 I   0,0  0,0   0:00.13 kworker/0:+
19194 mateus    20   0  737184 131276  87872 S   0,0  2,2   0:03.59 chrome
19325 root      20   0       0      0      0 I   0,0  0,0   0:00.16 kworker/u1+
19362 mateus    20   0    4624    884    816 S   0,0  0,0   0:00.00 sh
19363 mateus    20   0   44336   4296   3620 S   0,0  0,1   0:05.17 top
19545 root      20   0       0      0      0 I   0,0  0,0   0:00.14 kworker/1:+
19881 root      20   0       0      0      0 I   0,0  0,0   0:00.09 kworker/u1+
19953 root      20   0       0      0      0 I   0,0  0,0   0:00.06 kworker/0:+
19964 root      20   0       0      0      0 I   0,0  0,0   0:00.01 kworker/1:+
20029 mateus    20   0  758096 155456 105920 S   0,0  2,6   0:06.06 chrome
20039 mateus    20   0  667700  54892  40404 S   0,0  0,9   0:00.06 chrome
20119 root      20   0       0      0      0 I   0,0  0,0   0:00.02 kworker/1:+
20167 mateus    20   0  736684  53176  44248 S   0,0  0,9   0:00.28 Gerenciado+
22827 mateus    20   0 1150168 245344 114452 S   0,0  4,1   2:51.07 chrome
22834 mateus    20   0    7612    740    680 S   0,0  0,0   0:00.00 cat
22835 mateus    20   0    7612    740    676 S   0,0  0,0   0:00.00 cat
22838 mateus    20   0  440504  41916  31376 S   0,0  0,7   0:00.16 chrome
22839 mateus    20   0   35508   4156   3452 S   0,0  0,1   0:00.00 nacl_helper
22842 mateus    20   0  440504  14708   4156 S   0,0  0,2   0:00.34 chrome
22862 mateus    20   0  526912 106104  75620 S   0,0  1,8   1:31.75 chrome
22868 mateus    20   0  563820  90520  46464 S   0,0  1,5   0:24.95 chrome
22886 mateus    20   0  407776  13704   3648 S   0,0  0,2   0:00.00 chrome
22963 mateus    20   0 1993536 234624  66900 S   0,0  3,9   0:21.23 chrome
25116 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 irq/28-mei+
25225 root      20   0       0      0      0 S   0,0  0,0   0:00.00 ath9k-hwrng
25272 root      20   0   25980   6440   5168 S   0,0  0,1   0:00.00 dhclient
26074 root      20   0  584524  40688  17240 S   0,0  0,7   0:00.49 fwupd
26126 mateus    20   0  820668 146568  83912 S   0,0  2,4   0:20.48 chrome
31934 mateus    20   0  740684 124260  77788 S   0,0  2,1   0:06.34 chrome
32118 mateus    20   0  775596 145516  86488 S   0,0  2,4   0:14.95 chrome
32178 mateus    20   0  724716 116364  74068 S   0,0  1,9   0:00.93 chrome
32723 mateus    20   0  736616 125124  77744 S   0,0  2,1   0:01.36 chrome

top - 09:30:55 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  0,8 us,  0,7 sis,  0,0 ni, 98,5 oc,  0,0 ag,  0,0 ih,  0,0 is  0,0 tr
KB mem :  5986548 total,   799524 livre,  2676984 usados,  2510040 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2790828 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
19363 mateus    20   0   44336   4296   3620 S   1,0  0,1   0:05.20 top
20193 mateus    20   0   44336   4140   3464 R   1,0  0,1   0:00.05 top
 1106 root      20   0  639040  88948  70852 S   0,7  1,5   3:42.85 Xorg
 2306 mateus    20   0  848080  36232  27264 S   0,3  0,6   0:40.99 metacity
 3004 mateus    20   0 1431604 118828  43104 S   0,3  2,0   0:39.87 nautilus
 6082 mateus    20   0 1079560 302524 101372 S   0,3  5,1   1:07.63 chrome
17606 root      20   0       0      0      0 I   0,3  0,0   0:00.52 kworker/u1+
19953 root      20   0       0      0      0 I   0,3  0,0   0:00.07 kworker/0:+
22827 mateus    20   0 1150168 245344 114452 S   0,3  4,1   2:51.08 chrome
22868 mateus    20   0  563820  90520  46464 S   0,3  1,5   0:24.96 chrome
31934 mateus    20   0  740684 124260  77788 S   0,3  2,1   0:06.35 chrome
    1 root      20   0  225872   9676   6736 S   0,0  0,2   0:03.78 systemd
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/0:+
    8 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0,0  0,0   0:01.01 ksoftirqd/0
   10 root      20   0       0      0      0 I   0,0  0,0   0:05.82 rcu_sched
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.11 migration/0
   12 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_injec+
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_injec+
   17 root      rt   0       0      0      0 S   0,0  0,0   0:00.23 migration/1
   18 root      20   0       0      0      0 S   0,0  0,0   0:00.76 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/1:+
   21 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   22 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 netns
   23 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_tasks_+
   24 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kauditd
   26 root      20   0       0      0      0 S   0,0  0,0   0:00.02 khungtaskd
   27 root      20   0       0      0      0 S   0,0  0,0   0:00.00 oom_reaper
   28 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 writeback
   29 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kcompactd0
   30 root      25   5       0      0      0 S   0,0  0,0   0:00.00 ksmd
   31 root      39  19       0      0      0 S   0,0  0,0   0:00.00 khugepaged
   77 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kintegrityd
